Handle,Title,Vendor,Option1 Value,Variant Grams,Variant Price,Variant Compare At Price,Variant Barcode,Cost per item
VIV Lily Outflow Pipe 13mm,,,100-04,0,34.99,,viv 100-04,14.3
VIV Lily Outflow Pipe 17mm,,,100-05,0,39.99,,viv 100-05,14.3
Seachem Acid Buffer 300g,Seachem Acid Buffer,Seachem,300g,0,14.99,,000116024600,7.59
API Melafix 237ml,API Melafix,API,237ml,0,13.99,,3.17163E+11,8.23
API Melafix 473ml,,,473 ml,0,21.99,,3.17163E+11,13.6
Python Air Tube 10ft,Python Air Line Tubing 10ft,Python,Default Title,0,3.99,,094036010164,1.67
Salifert KH,Salifert Test KH (Eau Douce),Salifert,Default Title,0,9.99,,8.71408E+12,4.83
Eheim Torf Pellets,Eheim Torf Peat Pellets,Eheim,Default Title,0,21.99,,4.01171E+12,13.2
Python Pro Clean Squeeze Medium,Python Syphon avec Squeeze,Python,Medium,0,26.99,,094036162108,18.48
Python Pro Clean Squeeze Large,,,Large,0,30.99,,094036162160,19.9
Python Pro Clean Sm,Python Siphon,Python,Small,0,14.99,,094036121631,7.49
Seachem Flourite 7kg,,,7kg,0,39.99,,000116049504,20.24
Seachem Flourite Black 3.5kg,Seachem Flourite Black,Seachem,3.5kg,0,25.99,,000116372305,13.34
Seachem Flourite Black 7kg,,,7kg,0,39.99,,000116372503,23.21
Aquavitro Fine Tip Forceps,Aquavitro Needle Tip Straight Forceps,Aquavitro,Default Title,300,21.99,,000116768603,10.73
Aquavitro Double Curved Shears,Aquavitro Double Curved Shears,Aquavitro,Default Title,0,26.99,,000116768207,14.26
Seachem Flourish Nitrogen 500ml,,,500ml,0,22.99,,000116062305,11.31
Thermometre en verre,Thermomètre en Verre,Underwater Treasure,Default Title,0,3.99,,6.28742E+11,1.76
filet-pour-poisson-epais,Filet Épais pour Poisson,Underwater Treasure,3'',0,2.99,,6.28742E+11,1.38
filet-pour-poisson-epais,,,5'',0,2.99,,6.28742E+11,1.81
filet-pour-poisson-epais,,,8'',0,4.99,,6.28742E+11,2.69
Epoxy Gris,Epoxy AquaStik,Two Little Fishies,Gris,0,18.99,,7.48172E+11,11.29
Epoxy Rouge,,,Rouge,0,18.99,,7.48172E+11,11.29
sicce-voyager-nano,,,2000,1500,55.99,,8.01147E+12,31.05
Sicce Silent Syncra 0.5,Sicce Syncra Silent,Sicce,0.5,400,60.99,,8.01147E+12,33.75
Sicce Silent Syncra 1,,,1,500,76.99,,8.01147E+12,44.42
Rouleau de Soie Filtrante 10sqft,Seapora Rouleau de Soie Filtrante,Seapora,10 pieds carré,200,11.99,,6.22841E+11,5.86
Rouleau de Soie Filtrante 20sqft,,,20 pieds carré,200,18.99,,6.22841E+11,10.86
Sac M�dia sm,Seapora Sac de Média Filtrant,Seapora,S: 5 x 3,0,3.99,,6.28742E+11,1.35
Sac M�dia L,,,L: 8 x 6,0,5.99,,6.28742E+11,1.82
Sac M�dia XL,,,XL: 12 x 8,0,7.99,,6.28742E+11,2.43
Seapora Phos Pad,Seapora Phos Pad,Seapora,Default Title,200,12.99,,6.28742E+11,6.86
Seapora Poly Pad,Seapora Poly Pad,Seapora,Default Title,0,5.99,,6.28742E+11,2.77
Seapora Carbon Pad,Seapora Carbon Pad,Seapora,Default Title,200,11.99,,6.28742E+11,6.07
Seachem Tidal 35,Seachem Filtreur Tidal,Seachem,35,1000,62.99,,000116065818,41.69
Seachem Stability 100ml,Seachem Stability,Seachem,100ml,200,8.99,,000116012508,4.24
Seachem Stability 250ml,,,250ml,400,17.99,,000116008211,8.59
Seachem Stability 500ml,,,500ml,700,30.99,,000116012300,16.29
Seachem Grattoir 12'',Seachem Grattoir,Seachem,"12""",0,26.99,,000116032070,17.76
Seachem Grattoir 18'',,,"18""",0,39.99,,000116032087,25.67
Purigen 100ml,Seachem Purigen,Seachem,100ml,0,18.99,,000116016506,10.12
Purigen 250ml,,,250ml,400,30.99,,000116016605,16.92
Purigen 500ml,,,500ml,600,52.99,,000116016308,30.5
Purigen 1L,,,1L,1000,95.99,,000116016704,61.45
Seachem Prime 100ml,Seachem Prime,Seachem,100ml,200,8.99,,000116043502,4.63
Seachem Prime 250ml,,,250ml,400,17.99,,000116008259,9.39
Seachem Prime 500ml,,,500ml,700,30.99,,000116043304,17.85
Seachem Pad de Remplacement,Seachem Pad de Remplacement,Seachem,Default Title,0,9.99,,000116032148,4.9
Seachem Matrix 500ml,Seachem Matrix,Seachem,500ml,400,13.99,,000116011303,6.89
Seachem Matrix 1L,,,1L,1000,24.99,,000116011709,12.4
Seachem Matrix 4L,,,4L,400,69.99,,000116011907,6.89
Seachem Flourish 250ml,Seachem Flourish,Seachem,250ml,400,13.99,,000116051606,7.07
Seachem Flourish 500ml,,,500ml,700,22.99,,000116051309,11.31
Seachem Flourish Trace 250ml,Seachem Flourish Trace,Seachem,250ml,400,13.99,,000116074605,7.07
Seachem Flourish Trace 500ml,,,500ml,700,22.99,,000116074308,11.31
Seachem Flourish Potasisum 250ml,Seachem Flourish Potassium,Seachem,250ml,400,13.99,,000116046602,7.07
Seachem Flourish Potassium 500ml,,,500ml,700,22.99,,000116046305,11.31
Seachem Flourish Phosphorus 500ml,,,500ml,700,22.99,,000116019309,11.31
Seachem Flourish Iron 250ml,Seachem Flourish Iron,Seachem,250ml,400,13.99,,000116047609,7.07
Seachem Flourish Iron 500ml,,,500ml,700,22.99,,000116047302,11.31
Seachem Flourish Excel 250ml,Seachem Flourish Excel,Seachem,250ml,400,13.99,,000116045605,7.07
Seachem Flourish Excel 500ml,,,500ml,700,22.99,,000116045308,11.31
Seachem Flourish Advance 250ml,Seachem Flourish Advance,Seachem,250ml,400,16.99,,000116123600,8.49
Seachem Flourish Advance 500ml,,,500ml,700,26.99,,000116123303,13.55
Seachem Equilibrium 300g,Seachem Equilibrium,Seachem,300g,300,14.99,,000116044608,7.59
Seachem Equilibrium 600g,,,600g,600,24.99,,000116044301,13.13
Seachem Lame de Remplacement,Seachem Lame de Remplacement,Seachem,Default Title,0,12.99,,000116032124,7.47
Seachem Alkaline Buffer 300g,Seachem Alkaline Buffer,Seachem,300g,300,14.99,,000116023603,7.59
Seachem Alkaline Buffer 600g,,,600g,600,24.99,,000116023306,12.86
Seachem Algae Pad,Seachem Algae Pad,Seachem,Default Title,0,13.99,,000116032032,7.89
Salifert pH,Salifert Test pH (Eau douce),Salifert,Default Title,0,9.99,,8.71408E+12,5.26
Salifert Nitrate,Salifert Test Nitrate (Eau douce),Salifert,Default Title,0,15.99,,5.06022E+12,9.47
Salifert Nitrite,Salifert Test Nitrite (Eau douce),Salifert,Default Title,0,13.99,,8.71408E+12,6.31
Salifert Ammoniaque,Salifert Test Ammoniac (Eau douce),Salifert,Default Title,0,13.99,,8.71408E+12,7.89
Salifert Potassium,Salifert Test Potassium (Eau douce),Salifert,Default Title,0,18.99,,8.71408E+12,10.63
Salifert GH,Salifert Test GH (Eau douce),Salifert,Default Title,0,9.99,,8.71408E+12,5.26
Salifert CO2,Salifert Test CO2 (Eau douce),Salifert,Default Title,0,14.99,,8.71408E+12,7.25
Genesis rock Avec Booster,Polyp Lab Genesis Rock avec Booster,Polyp Lab,Default Title,500,56.99,,6.44217E+11,37.7
Northfin Marine 1mm,Northfin Marine,Northfin,100g 1mm,0,10.99,,7.99976E+11,4.86
Northfin Kelp Wafers 100g,Northfin Kelp Wafers,Northfin,100g,0,10.99,,7.99976E+11,4.86
Northfin Kelp Wafers 250g,,,250g,0,16.99,,7.99976E+11,8.49
Optimum Flakes 45g,New Life Spectrum Optimum Flakes,New Life Spectrum,45g,0,13.99,,8.17987E+11,6.94
Optimum Flakes 90g,,,90g,0,21.99,,8.17987E+11,10.96
Eheim Chauffe-eau 100w,,,100 W,400,38.99,,7.20686E+11,27.3
Eheim Chauffe-eau 150w,,,150 W,400,39.99,,72063613,27.3
Eheim Chauffe-eau 300W,,,300 W,400,46.99,,7.20686E+11,33.67
Moonlight Sand 20lbs,,,20 lbs,9071.8474,39.99,,008479008206,21.19
Chemi Clean,Chemi clean,Boyd Entreprises,Default Title,0,24.99,,7.19958E+11,13.98
ROBuddie Charbon,Cartouche Charbon RO Buddie,AquaticLife,Default Title,0,13.99,,8.10957E+11,8.43
ROBuddie Sediment,Cartouche Sédiment RO Buddie,AquaticLife,Default Title,0,12.99,,8.10957E+11,6.99
ROBuddie 4 Stages,RO Buddie 4 Stages,AquaticLife,Default Title,1200,149.99,,8.10957E+11,75.86
ROBuddie 3 Stages,RO Buddie 3 Stages,AquaticLife,Default Title,1000,119.99,,8.10957E+11,79.74
Membrane 100gpd,Membrane RODI,AquaFX,50 GPD,200,59.99,,C210119331T090,24.18
API Sel Aquarium,API Sel d'aquarium,API,Default Title,1000,13.99,,3.17163E+11,6.64
Tropica 1-2-Grow Micranthemum callitrichoides 'Cuba',Tropica 1-2-Grow Micranthemum callitrichoides 'Cuba',Tropica,Default Title,,13.99,,'5703249048271,
CO2Art IO Diffuser Small,CO2Art IO Diffuser - Acrylic Series - In-Tank CO2 Diffuser,CO2 Art,Small,,27.99,,'5060386349020,
CO2Art IO Diffuser Large,,,Large,,31.99,,'5060386349013,
Chihiros B30,Chihiros B Series - King Of Value For Money,Chihiros,B 30cm,,77.99,,'6974333541575,
Tropica 1-2-Grow Hygrophila lancea 'Araguaia',Tropica 1-2-Grow Hygrophila lancea 'Araguaia',Tropica,Default Title,,13.99,,'5703249851222,
Tropica 1-2-Grow Staurogyne repens,Tropica 1-2-Grow Staurogyne repens,Tropica,Default Title,,13.99,,'5703249049773,
Tropica 1-2-Grow Riccia fluitans,Tropica 1-2-Grow Riccia fluitans,Tropica,Default Title,,13.99,,'5703249853622,
Seachem Flourish Tabs 10pk,Seachem Flourish Tabs (Root Tabs),Seachem,10 pk,,16.99,,'000116050500,
Seachem Flourish Tabs 40pk,,,40 pk,,39.99,,'000116050708,
Eheim Pompe Compact ON 600,Eheim Pompe Compact ON 600,Eheim,Default Title,,44.99,,'720686001633,
Eheim Pompe CompactON 300,Eheim Pompe CompactON 300,Eheim,Default Title,,32.99,,'720686001565,
Tropica 1-2-Grow Vesicularia dubyana 'Christmas',Tropica 1-2-Grow Vesicularia dubyana 'Christmas',Tropica,Default Title,,13.99,,'5703249803122,
Tropica 1-2-Grow Rotala macrandra,Tropica 1-2-Grow Rotala macrandra,Tropica,Default Title,,13.99,,'5703249801029,
Tropica 1-2-Grow Cryptocoryne undulata 'Broad Leaf',Tropica 1-2-Grow Cryptocoryne undulata 'Broad Leaf',Tropica,Default Title,,13.99,,'5703249910226,
ADA Clear Super,ADA Clear Super,ADA,Default Title,,34.99,,'4537934050215,
ADA Green Brighty K,ADA Green Brighty K,ADA,300ml,,24.99,,'4537934030378,
Tropica 1-2-Grow Gratiola viscidula,Tropica 1-2-Grow Gratiola viscidula,Tropica,Default Title,,13.99,,'5703249842022,
Tropica 1-2-Grow Eleocharis pusilla,Tropica 1-2-Grow Eleocharis pusilla,Tropica,Default Title,,13.99,,'5703249932228,
Tropica 1-2-Grow Proserpinaca palustris,Tropica 1-2-Grow Proserpinaca palustris,Tropica,Default Title,,13.99,,'5703249837325,
Tropica 1-2-Grow Rotala wallichii,Tropica 1-2-Grow Rotala wallichii,Tropica,Default Title,,13.99,,'5703249832122,
Tropica 1-2-Grow Rotala indica 'Bonsai',Tropica 1-2-Grow Rotala indica 'Bonsai',Tropica,Default Title,,13.99,,'5703249833525,
Tropica 1-2-Grow Ranunculus inundatus,Tropica 1-2-Grow Ranunculus inundatus,Tropica,Default Title,,13.99,,'5703249822321,
Chihiros Doctor Mate Reactor,Chihiros Doctor Mate Reactor,Chihiros,Default Title,,27.99,,'33010010015,
Chihiros Doctor Reactors,Chihiros Doctor Reactors,Chihiros,Default Title,,58.99,,'33010025,
Chihiros Pompe Doseuse,Chihiros Pompe Doseuse,Chihiros,Default Title,,219.99,,'6974333541476,
Tropica 1-2-Grow Hygrophila pinnatifida,Tropica 1-2-Grow Hygrophila pinnatifida,Tropica,Default Title,,13.99,,'5703249851123,
Tropica 1-2-Grow Alternanthera reineckii 'Mini',Tropica 1-2-Grow Alternanthera reineckii 'Mini',Tropica,Default Title,,13.99,,'5703249823328,
Seachem Acid Buffer 300g,Seachem Acid Buffer,Seachem,300g,,14.99,,'000116024600,
ADA Green Brighty Neutral K,ADA Green Brighty Neutral K,ADA,300ml,,24.99,,'4537934030491,
ADA Green Brighty Nitrogen,ADA Green Brighty Nitrogen,ADA,300ml,,28.99,,'4537934030460,
ADA Green Brighty Iron,ADA Green Brighty Iron,ADA,300ml,,28.99,,'4537934030439,
ADA Green Brighty Mineral,ADA Green Brighty Mineral,ADA,300ml,,28.99,,'4537934030408,
ADA Tourmaline BC,ADA Tourmaline BC,ADA,100g,,34.99,,'4537934041138,
ADA Bacter 100,ADA Bacter 100,ADA,100g,,39.99,,'4537934041114,
